"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","API-TC-013: protege la creación de productos","webkit","2026-09-06","failed","2026-09-06","","api\api-tc-013.spec.ts","",""
"","942","API-TC-014: Manager puede crear y modificar, pero no eliminar","webkit","2026-09-06","failed","2026-09-06","","api\api-tc-014.spec.ts","",""
"","6047","muestra el formulario de login y el catálogo público con Bug Hunting ON","firefox","2026-09-06","passed","2026-09-06","WEB-TC-001: Visualización del catálogo sin iniciar sesión","web\WEB-TC-001.spec.ts","",""
"","2789","debe mostrar Gestión para manager sin controles de eliminación","chromium","2026-09-06","passed","2026-09-06","WEB-TC-023: Permisos visuales del rol Manager","web\WEB-TC-023.spec.ts","",""
"","994","API-TC-012: checkout con dos productos","chromium","2026-09-06","failed","2026-09-06","","api\api-tc-012.spec.ts","",""
"","1786","muestra todos los productos del catálogo semilla","chromium","2026-09-06","passed","2026-09-06","WEB-TC-008: Catálogo semilla completo","web\WEB-TC-008.spec.ts","",""
"","972","API-TC-014: Manager puede crear y modificar, pero no eliminar","firefox","2026-09-06","failed","2026-09-06","","api\api-tc-014.spec.ts","",""
"","2106","API-TC-015: Admin tiene permisos completos sobre productos","firefox","2026-09-06","passed","2026-09-06","","api\api-tc-015.spec.ts","",""
"","630","API-TC-011: no permite comprar con el carrito vacío","webkit","2026-09-06","passed","2026-09-06","Creación de pedidos mediante API","api\api-tc-011.spec.ts","",""
"","3376","inicia sesión con credenciales válidas y muestra rol manager","webkit","2026-09-06","passed","2026-09-06","WEB-TC-003: Inicio de sesión correcto con Manager","web\WEB-TC-003.spec.ts","",""
"","4440","no debe mostrar Gestión ni controles administrativos para customer","firefox","2026-09-06","passed","2026-09-06","WEB-TC-024: Restricción visual del rol Customer","web\WEB-TC-024.spec.ts","",""
"","8600","inicia sesión con credenciales válidas y muestra rol customer","firefox","2026-09-06","passed","2026-09-06","WEB-TC-002: Inicio de sesión correcto con Customer","web\WEB-TC-002.spec.ts","",""
"","1336","API-TC-015: Admin tiene permisos completos sobre productos","chromium","2026-09-06","passed","2026-09-06","","api\api-tc-015.spec.ts","",""
"","8493","debe agregar un producto a Favoritos correctamente","chromium","2026-09-06","failed","2026-09-06","WEB-TC-014: Agregar un producto a Favoritos","web\WEB-TC-014.spec.ts","",""
"","7669","rechaza el inicio de sesión con contraseña incorrecta","firefox","2026-09-06","failed","2026-09-06","WEB-TC-005: Rechazo de contraseña incorrecta","web\WEB-TC-005.spec.ts","",""
"","9503","debe crear un producto desde Gestión y mostrarlo en el listado","firefox","2026-09-06","failed","2026-09-06","WEB-TC-025: Creación de producto desde Gestión por Admin","web\WEB-TC-025.spec.ts","",""
"","3057","debe mostrar mensaje cuando la búsqueda no encuentra productos","firefox","2026-09-06","passed","2026-09-06","WEB-TC-010: Búsqueda sin resultados","web\WEB-TC-010.spec.ts","",""
"","3579","debe mostrar categorías sin duplicados y filtrar productos de Accesorios","webkit","2026-09-06","failed","2026-09-06","WEB-TC-011: Categorías únicas y filtro Accesorios","web\WEB-TC-011.spec.ts","",""
"","354","API-TC-001: login válido devuelve HTTP 200 y token","firefox","2026-09-06","passed","2026-09-06","Autenticación mediante API","api\api-tc-001.spec.ts","",""
"","694","API-TC-011: no permite comprar con el carrito vacío","chromium","2026-09-06","passed","2026-09-06","Creación de pedidos mediante API","api\api-tc-011.spec.ts","",""
"","4748","debe mostrar mensaje cuando la búsqueda no encuentra productos","webkit","2026-09-06","passed","2026-09-06","WEB-TC-010: Búsqueda sin resultados","web\WEB-TC-010.spec.ts","",""
"","5285","debe mostrar Gestión para manager sin controles de eliminación","webkit","2026-09-06","passed","2026-09-06","WEB-TC-023: Permisos visuales del rol Manager","web\WEB-TC-023.spec.ts","",""
"","8356","debe crear el Pedido #1 y vaciar el carrito después del checkout","firefox","2026-09-06","failed","2026-09-06","WEB-TC-020: Finalizar compra y registrar pedido","web\WEB-TC-020.spec.ts","",""
"","4033","debe mostrar Gestión y controles de eliminación para admin","webkit","2026-09-06","passed","2026-09-06","WEB-TC-022: Permisos visuales del rol Admin","web\WEB-TC-022.spec.ts","",""
"","3032","debe mostrar mensaje cuando la búsqueda no encuentra productos","chromium","2026-09-06","passed","2026-09-06","WEB-TC-010: Búsqueda sin resultados","web\WEB-TC-010.spec.ts","",""
"","3647","muestra todos los productos del catálogo semilla","webkit","2026-09-06","passed","2026-09-06","WEB-TC-008: Catálogo semilla completo","web\WEB-TC-008.spec.ts","",""
"","10835","debe acumular la cantidad al agregar dos veces el mismo producto","firefox","2026-09-06","failed","2026-09-06","WEB-TC-017: Acumulación de cantidad del mismo producto","web\WEB-TC-017.spec.ts","",""
"","1075","API-TC-012: checkout con dos productos","firefox","2026-09-06","failed","2026-09-06","","api\api-tc-012.spec.ts","",""
"","1794","impide agregar un producto al carrito sin iniciar sesión","chromium","2026-09-06","passed","2026-09-06","WEB-TC-006: Acción protegida sin autenticación","web\WEB-TC-006.spec.ts","",""
"","301","API-TC-001: login válido devuelve HTTP 200 y token","webkit","2026-09-06","passed","2026-09-06","Autenticación mediante API","api\api-tc-001.spec.ts","",""
"","9748","debe calcular correctamente el porcentaje de descuento de una oferta","webkit","2026-09-06","failed","2026-09-06","WEB-TC-013: Cálculo correcto del porcentaje de descuento","web\WEB-TC-013.spec.ts","",""
"","307","API-TC-001: login válido devuelve HTTP 200 y token","chromium","2026-09-06","passed","2026-09-06","Autenticación mediante API","api\api-tc-001.spec.ts","",""
"","3217","debe mostrar categorías sin duplicados y filtrar productos de Accesorios","chromium","2026-09-06","failed","2026-09-06","WEB-TC-011: Categorías únicas y filtro Accesorios","web\WEB-TC-011.spec.ts","",""
"","3813","debe mostrar categorías sin duplicados y filtrar productos de Accesorios","firefox","2026-09-06","failed","2026-09-06","WEB-TC-011: Categorías únicas y filtro Accesorios","web\WEB-TC-011.spec.ts","",""
"","9535","debe mostrar correctamente las ofertas del día y sus descuentos","webkit","2026-09-06","failed","2026-09-06","WEB-TC-012: Visualización de Ofertas del día","web\WEB-TC-012.spec.ts","",""
"","6966","debe mostrar los productos que coinciden con el texto de búsqueda","firefox","2026-09-06","passed","2026-09-06","WEB-TC-009: Búsqueda de productos por texto","web\WEB-TC-009.spec.ts","",""
"","4583","debe mostrar los productos que coinciden con el texto de búsqueda","webkit","2026-09-06","passed","2026-09-06","WEB-TC-009: Búsqueda de productos por texto","web\WEB-TC-009.spec.ts","",""
"","2922","debe mostrar Gestión y controles de eliminación para admin","chromium","2026-09-06","passed","2026-09-06","WEB-TC-022: Permisos visuales del rol Admin","web\WEB-TC-022.spec.ts","",""
"","11296","debe acumular la cantidad al agregar dos veces el mismo producto","webkit","2026-09-06","failed","2026-09-06","WEB-TC-017: Acumulación de cantidad del mismo producto","web\WEB-TC-017.spec.ts","",""
"","2373","debe mostrar un estado vacío cuando el usuario no tiene pedidos","chromium","2026-09-06","passed","2026-09-06","WEB-TC-021: Estado vacío de Mis pedidos","web\WEB-TC-021.spec.ts","",""
"","11633","debe agregar dos productos diferentes al carrito correctamente","webkit","2026-09-06","failed","2026-09-06","WEB-TC-016: Agregar dos productos distintos al carrito","web\WEB-TC-016.spec.ts","",""
"","10194","debe calcular correctamente el porcentaje de descuento de una oferta","firefox","2026-09-06","failed","2026-09-06","WEB-TC-013: Cálculo correcto del porcentaje de descuento","web\WEB-TC-013.spec.ts","",""
"","1973","debe mostrar los productos que coinciden con el texto de búsqueda","chromium","2026-09-06","passed","2026-09-06","WEB-TC-009: Búsqueda de productos por texto","web\WEB-TC-009.spec.ts","",""
"","3092","muestra el menú lateral después de iniciar sesión correctamente","webkit","2026-09-06","passed","2026-09-06","WEB-TC-007: Menú lateral visible después del login","web\WEB-TC-007.spec.ts","",""
"","5675","inicia sesión con credenciales válidas y muestra rol admin","firefox","2026-09-06","passed","2026-09-06","WEB-TC-004: Inicio de sesión correcto con Admin","web\WEB-TC-004.spec.ts","",""
"","1906","muestra el menú lateral después de iniciar sesión correctamente","chromium","2026-09-06","passed","2026-09-06","WEB-TC-007: Menú lateral visible después del login","web\WEB-TC-007.spec.ts","",""
"","2265","impide agregar un producto al carrito sin iniciar sesión","firefox","2026-09-06","passed","2026-09-06","WEB-TC-006: Acción protegida sin autenticación","web\WEB-TC-006.spec.ts","",""
"","5505","inicia sesión con credenciales válidas y muestra rol customer","chromium","2026-09-06","passed","2026-09-06","WEB-TC-002: Inicio de sesión correcto con Customer","web\WEB-TC-002.spec.ts","",""
"","2701","debe mantener deshabilitado el checkout cuando el carrito está vacío","chromium","2026-09-06","passed","2026-09-06","WEB-TC-019: Checkout deshabilitado con carrito vacío","web\WEB-TC-019.spec.ts","",""
"","10553","debe crear un producto desde Gestión y mostrarlo en el listado","webkit","2026-09-06","failed","2026-09-06","WEB-TC-025: Creación de producto desde Gestión por Admin","web\WEB-TC-025.spec.ts","",""
"","10189","debe agregar un producto a Favoritos correctamente","webkit","2026-09-06","failed","2026-09-06","WEB-TC-014: Agregar un producto a Favoritos","web\WEB-TC-014.spec.ts","",""
"","7902","debe quitar un producto y reflejar el carrito vacío","webkit","2026-09-06","passed","2026-09-06","WEB-TC-018: Eliminar producto del carrito","web\WEB-TC-018.spec.ts","",""
